Soltu.DM.01G004860.v6.1	15	0	15
Soltu.DM.01G004960.v6.1	2	0	2
Soltu.DM.01G004980.v6.1	3	0	3
Soltu.DM.01G004990.v6.1	6	0	6
Soltu.DM.01G005000.v6.1	290	0	290
Soltu.DM.01G005010.v6.1	169	1	168
Soltu.DM.01G005030.v6.1	114	0	114
Soltu.DM.01G005050.v6.1	282	0	282
Soltu.DM.01G005060.v6.1	101	0	101
Soltu.DM.01G005140.v6.1	11	0	11
Soltu.DM.01G005170.v6.1	5	0	5
Soltu.DM.01G005180.v6.1	10	0	10
Soltu.DM.01G005230.v6.1	3	0	3
Soltu.DM.01G005240.v6.1	6	0	6
Soltu.DM.01G005270.v6.1	2	0	2
Soltu.DM.01G005290.v6.1	1	0	1
Soltu.DM.01G005330.v6.1	1	0	1
Soltu.DM.01G005350.v6.1	1	0	1
Soltu.DM.01G005360.v6.1	5	0	5
Soltu.DM.01G005380.v6.1	37	0	37
Soltu.DM.01G005390.v6.1	343	9	334
Soltu.DM.01G005400.v6.1	58	1	57
Soltu.DM.01G005430.v6.1	9	0	9
Soltu.DM.01G005480.v6.1	0	0	0
Soltu.DM.01G005490.v6.1	70	0	70
Soltu.DM.01G005530.v6.1	114	0	114
Soltu.DM.01G005560.v6.1	55	0	55
Soltu.DM.01G005570.v6.1	419	0	419
Soltu.DM.01G005580.v6.1	390	0	390
Soltu.DM.01G005590.v6.1	534	5	529
Soltu.DM.01G005600.v6.1	137	0	137
Soltu.DM.01G005630.v6.1	191	0	191
Soltu.DM.01G005640.v6.1	56	0	56
Soltu.DM.01G005650.v6.1	100	0	100
Soltu.DM.01G005660.v6.1	546	0	546
Soltu.DM.01G005680.v6.1	0	0	0
Soltu.DM.01G005770.v6.1	15	0	15
Soltu.DM.01G005780.v6.1	33	0	33
Soltu.DM.01G005790.v6.1	19	0	19
Soltu.DM.01G005800.v6.1	204	0	204
Soltu.DM.01G005810.v6.1	66	0	66
Soltu.DM.01G005820.v6.1	77	0	77
Soltu.DM.01G005840.v6.1	601	0	601
Soltu.DM.01G005850.v6.1	2561	3	2558
Soltu.DM.01G005860.v6.1	2000	2	1998
Soltu.DM.01G005870.v6.1	23	0	23
Soltu.DM.01G005880.v6.1	74	0	74
Soltu.DM.01G005890.v6.1	531	0	531
Soltu.DM.01G005900.v6.1	95	0	95
Soltu.DM.01G005910.v6.1	477	2	475
Soltu.DM.01G005920.v6.1	131	0	131
Soltu.DM.01G005930.v6.1	2	0	2
Soltu.DM.01G005940.v6.1	315	0	315
Soltu.DM.01G005950.v6.1	474	0	474
Soltu.DM.01G005960.v6.1	44	0	44
Soltu.DM.01G005970.v6.1	422	0	422
Soltu.DM.01G005980.v6.1	829	1	828
Soltu.DM.01G006010.v6.1	530	0	530
Soltu.DM.01G006090.v6.1	101	0	101
Soltu.DM.01G006190.v6.1	52	0	52
Soltu.DM.01G006200.v6.1	71	0	71
Soltu.DM.01G006210.v6.1	2431	1	2430
Soltu.DM.01G006220.v6.1	286	0	286
Soltu.DM.01G006240.v6.1	3	0	3
Soltu.DM.01G006260.v6.1	0	0	0
Soltu.DM.01G006270.v6.1	77	0	77
Soltu.DM.01G006310.v6.1	174	0	174
Soltu.DM.01G006320.v6.1	38	0	38
Soltu.DM.01G006330.v6.1	22	0	22
Soltu.DM.01G006340.v6.1	31	0	31
